date,sales,promotion,ad_spend
2023-01-01,1222,0,56149.15
2023-02-01,1486,1,49650.52
2023-03-01,1657,1,48705.96
2023-04-01,1707,0,45233.49
2023-05-01,1610,0,58557.79
2023-06-01,1814,1,48918.29
2023-07-01,1219,0,47001.71
2023-08-01,1454,1,47535.07
2023-09-01,1340,0,53726.16
2023-10-01,1375,0,52558.11
2023-11-01,1650,1,52889.13
2023-12-01,1803,1,53015.75
2024-01-01,2002,1,64991.53
2024-02-01,1955,1,47155.09
2024-03-01,2234,1,46414.3
2024-04-01,2171,1,44303.59
2024-05-01,2174,1,54311.86
2024-06-01,1990,0,57902.81
2024-07-01,1989,1,49202.37
2024-08-01,1804,0,44118.9
2024-09-01,1884,1,44228.63
2024-10-01,1891,0,54554.15
2024-11-01,1853,0,55202.78
2024-12-01,2223,1,53802.08
2025-01-01,2353,1,45341.43
2025-02-01,2505,1,51625.13
2025-03-01,2543,0,50816.8
2025-04-01,2686,1,51530.82
2025-05-01,2776,1,56100.0
2025-06-01,2477,0,51565.17
2025-07-01,2325,0,54752.39
2025-08-01,2359,0,50473.05
2025-09-01,2210,0,52023.84
2025-10-01,2474,1,54419.02
2025-11-01,2428,1,39799.91
2025-12-01,2482,0,47762.3
